,name,steam_id,developers,reviews,positives,is_free,units_sold,prices_eu,final_revenue,genre
1172620,Sea of Thieves,1172620,Rare Ltd,51923,47422,False,1557690,39.99,62292023.1,"Action, Adventure"
489830,The Elder Scrolls V: Skyrim Special Edition,489830,Bethesda Game Studios,47531,45291,False,1425930,,,RPG
1172380,STAR WARS Jedi: Fallen Order™,1172380,Respawn Entertainment,43005,39063,False,1290150,39.99,51593098.5,"Action, Adventure"
433850,Z1 Battle Royale,433850,Daybreak Game Company,39120,19807,True,1173600,,,"Action, Adventure, Free to Play, Massively Multiplayer"
433340,Slime Rancher,433340,Monomi Park,36240,35482,False,1087200,19.99,21733128.0,"Action, Adventure, Indie, Simulation"
1113000,Persona 4 Golden,1113000,ATLUS,29998,29369,False,899940,19.99,17989800.599999998,RPG
1158310,Crusader Kings III,1158310,Paradox Development Studio,21793,20411,False,653790,49.99,32682962.1,"RPG, Simulation, Strategy"
493340,Planet Coaster,493340,"Frontier Developments,Aspyr (Mac)",20580,18484,False,617400,37.99,23455026.0,"Action, Adventure, Casual, Simulation, Strategy"
477160,Human: Fall Flat,477160,No Brakes Games,18921,18025,False,567630,19.99,11346923.7,"Avontuur, Casual, Indie, Simulatie"
504230,Celeste,504230,"Extremely OK Games, Ltd.",17745,17323,False,532350,19.99,10641676.5,"Action, Adventure, Indie"
460930,Tom Clancy's Ghost Recon® Wildlands,460930,"Ubisoft Paris,Ubisoft Annecy,Ubisoft Bucharest,Ubisoft Montpellier,Ubisoft Milan,Reflections,Ubisoft Belgrade",17692,14076,False,530760,49.99,26532692.400000002,"Action, Adventure"
438740,Friday the 13th: The Game,438740,IllFonic,15667,11635,False,470010,12.49,5870424.9,Action
470220,UNO,470220,Ubisoft Entertainment,15599,11404,False,467970,,,Casual
1190460,DEATH STRANDING,1190460,KOJIMA PRODUCTIONS,14941,13612,False,448230,,,"Action, Adventure"
1167630,Teardown,1167630,Tuxedo Labs,14778,14092,False,443340,19.99,8862366.6,"Action, Indie, Simulation, Strategy, Early Access"
447040,Watch_Dogs® 2,447040,Ubisoft,14206,11592,False,426180,59.99,25566538.2,"Action, Adventure"
